Unnamed: 0,price,artist,title,yearCreation,signed,condition,period,movement,image_path
0,28500.0,Tommaso Ottieri,Bayreuth Opera,2021.0,Signed on verso,This work is in excellent condition.,Contemporary,Baroque,images/auction_images/0.jpg
2,5000.0,Leo Gabin,Two on Sidewalk,2016.0,"Signed, titled and dated on verso",This work is in excellent condition.,Contemporary,Abstract,images/auction_images/2.jpg
3,5000.0,Matthias Dornfeld,Blumenszene,2010.0,"Signed, titled and dated on the reverse with the artist's stamp",This work is in excellent condition.There is minor craquelure inherent to the artist's work.,Contemporary,Abstract,images/auction_images/3.jpg
4,2500.0,Alexis Marguerite Teplin,Feverish Embarkation,2001.0,Signed on verso,This work is in excellent condition.,Contemporary,Abstract,images/auction_images/4.jpg
5,7575.0,Kenzo Okada,Bamboo,1977.0,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism,images/auction_images/5.jpg
6,7550.0,Francesco Clemente,Air,2007.0,"Numbered and signed on bottom corner, recto","This work is in excellent condition, direct from the publisher.",Contemporary,Neo-Expressionism,images/auction_images/6.jpg
7,3550.0,Günther  Förg,Untitled (Green),1993.0,Signed lower right recto; numbered lower left recto ,"This work is in very good condition, direct from the publisher.",Contemporary,Modernism,images/auction_images/7.jpg
8,3075.0,Dan Walsh,Manifold - Blue,2014.0,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,images/auction_images/8.jpg
9,3550.0,Günther  Förg,Untitled (Orange/Black),1993.0,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Modernism,images/auction_images/9.jpg
10,3075.0,Dan Walsh,Manifold - Red,2014.0,Signed lower right recto; numbered lower left recto ,"This work is in excellent condition, direct from the publisher.",Contemporary,Minimalism,images/auction_images/10.jpg
11,40000.0,Friedel Dzubas,Upstream,1973.0,Signed and dated on verso,This work is in excellent condition.,Contemporary,Abstract,images/auction_images/11.jpg
13,7000.0,Chris Ofili,"Last Night, New Day",2008.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,"Punk, Young British Artists, Abstract",images/auction_images/13.jpg
14,4000.0,Marcel Dzama,Here's a Fine Revolution,2015.0,Signed lower right,"This work is in excellent condition, direct from the publisher.",Contemporary,Magic Realism ,images/auction_images/14.jpg
